title,year,author
"Мориц, или Жертва мщения.",1802, "Гнедич, Николай Иванович"
"Дикая Европеянка, или Исправление преступления одного добродетелью другого.",1804,
"Российский Жилблаз, или Похождения князя Гаврилы Симоновича Чистякова.",1814,
"Евгения, или Письма к другу.",1818,
Бурсак.,1824,
Два Ивана или Страсть к тяжбам,1825,"Нарежный, Василий Трофимович"
В лесах,1826,"Мельников-Печерский, Павел Иванович"
На горах,1826,"Мельников-Печерский, Павел Иванович"
Гайдамак.,1827,
Двойник,1828,"Погорельский, Антоний "
Иван Выжигин.,1829,
"Юрий Милославский, или Русские в 1612 году.",1829,
Иван Иванович Выжигин,1829,"Булгарин, Фаддей Венедиктович"
Магнетизер.,1830,
Димитрий Самозванец.,1830,
Монастырка.,1830,
Повести Белкина,1831,"Пушкин, Александр Сергеевич"
Странник.,1831,
"Рославлев, или Русские в 1812 году.",1831,
Последний Новик.,1831,
Ольга Милославская.,1831,
Лейтенант Белозор,1831,"Бестужев, Александр  Александрович"
"Семейство Холмских. Некоторые черты нравов и образа жизни, семейной и одинокой, русских дворян",1832,"Бегичев, Дмитрий Никитич"
Стрельцы.,1832,
Клятва при гробе Господнем.,1832,
Андрей Безыменный.,1832,
Мазепа.,1833,
"Братоубийца, или Святополк-Окаянный.",1833,
Последний Новик или Завоевание Лифляндии,1833,"Лажечников, Иван Иванович"
Блаженство безумия,1833,"Полевой, Николай Алексеевич"
Аскольдова могила.,1833,
Черный ящик,1833,"Масальский, Константин Петрович"
Аскольдова могила: Повесть времен Владимира Первого,1833,"Загоскин, Михаил Николаевич"
Проклятый.,1833,
Кощей бессмертный.,1833,
Камчадалка.,1833,
Черная женщина.,1834,
Регентство Бирона.,1834,
Вечер на Кавказских водах в 1824 году,1834,"Бестужев, Александр  Александрович"
Мулла-нур,1834,"Бестужев, Александр  Александрович"
Таинственный монах.,1834,
Испытание,1834,"Бестужев, Александр  Александрович"
"Фрегат ""Надежда""",1834,"Бестужев, Александр  Александрович"
Аммалат-бек,1834,"Бестужев, Александр  Александрович"
Русский в Париже 1814 года,1834,"Бестужев, Александр  Александрович"
"Одна и две, или любовь поэта.",1834,
"Хмельницкие, или Присоединение Малороссии.",1834,
"Граф Обоянский, или Смоленск в 1812 году.",1834,
Ледяной дом.,1834,
Эмма,1834,"Полевой, Николай Алексеевич"
Рассказы русского солдата,1834,"Полевой, Николай Алексеевич"
Живописец,1834,"Полевой, Николай Алексеевич"
Пиковая дама,1834,"Пушкин, Александр Сергеевич"
Одна и две,1834,"Соколовский, Владимир Игнатьевич"
Художник,1834,"Тимофеев, Алексей Васильевич"
Спальня светской женщины,1835,"Панаев, Иван Иванович"
4338-й год.,1835,
"Светославич, вражий питомец.",1835,
Вий,1835,"Горький, Максим "
Три повести,1835,"Павлов, Николай Филиппович"
Повесть о том как поссорился Иван Иванович,1835,"Гоголь, Николай Васильевич"
Старосветские помещики,1835,"Горький, Максим "
Капитанская дочка.,1836,
"Прекрасная астраханка, или Хижина на берегу реки Оки.",1836,
Рославлев.,1836,
Запорожец,1836,"Нарежный, Василий Трофимович"
Она будет счастлива: Эпизод из воспоминаний петерб. жизни,1836,"Панаев, Иван Иванович"
Идеал,1837,"Ган, Елена Андреевна"
Последний из князей Корсунских.,1837,
Игра судьбы или Противозаконная любовь,1837,"Дурова, Надежда Андреевна"
Арап Петра Великого.,1837,
Невеста на ярмарке,1837,"Погодин, Михаил Петрович"
Сегодня и завтра,1837,"Панаев, Иван Иванович"
Поединок,1838,"Ростопчина (Сушкова), Евдокия Петровна"
Басурман.,1838,
Битва с пиратами.,1838,
Искуситель.,1838,
Маскарад,1839,"Павлов, Николай Филиппович"
Пан Халявский.,1839,
Дочь чиновного человека,1839,"Панаев, Иван Иванович"
Гудишки.,1839,
Павильон,1839,"Дурова, Надежда Андреевна"
Бедовик,1839,"Даль, Владимир Иванович"
Белая горячка,1840,"Панаев, Иван Иванович"
Генерал Каломерос.,1840,
Большой свет,1840,"Соллогуб, Владимир Александрович"
Герой нашего времени.,1840,
Угол,1840,"Дурова, Надежда Андреевна"
Колдун на Сухаревской башне.,1840,
Русский Пелам.,1841,
Иоанн Цимисхий,1841,"Полевой, Николай Алексеевич"
Осада Углича,1841,"Масальский, Константин Петрович"
Солнечный луч. Происшествие из времени Екатерины II.,1841,
Саламандра,1841,"Одоевский, Владимир Фёдорович"
Дубровский.,1841,
Упырь,1841,"Толстой, Алексей Константинович"
